"parameter","chinese_name","calculation_description","source","meaning","formula"
"matrix_name","矩阵名","例如 /home/scan_SpTRSV/mawi_201512020030/mawi_201512020030.mtx 输出为 mawi_201512020030。","Input path resolved by analyze_scan_chains.py::resolve_input_path; output name from matrix_name_for_path(path)","当前统计结果对应的矩阵标识。默认使用 .mtx 文件名去掉后缀后的 stem，便于同名 upsert。","matrix_name = Path(input_mtx).stem"
"n_rows","行数","从 Matrix Market 尺寸行 M N nnz_reported 读取，并要求 M == N。","Matrix Market size line parsed by read_strict_lower_dependencies_mtx","矩阵的行数，也是 SpTRSV 下三角系统的变量数。","n_rows = M"
"nnz","非零元数","流式读取 .mtx 时只统计严格下三角 j < i；单位对角不参与 pred_count，只在 nnz 中补 n_rows 个对角元。","strict_lower_nnz from streaming lower-triangle extraction plus implicit unit diagonal","本项目使用的单位下三角 L 的非零元数口径。只把严格下三角依赖和单位对角计入，不构造完整矩阵。","nnz = strict_lower_nnz + n_rows"
"absolute_head_rows","绝对链头行数","对每行 i 统计 pred_count[i]，其中 pred_count[i] 是严格下三角依赖 j < i 的数量；计数为 0 的行就是 absolute head。","pred_count array computed in read_strict_lower_dependencies_mtx","没有任何严格下三角前驱的行数。","absolute_head_rows = Σ_i 1[pred_count[i] == 0]"
"absolute_head_row_ratio","绝对链头行占比","用 absolute_head_rows 除以 n_rows；空矩阵时定义为 0。","absolute_head_rows and n_rows","无前驱行在全部行中的比例。","absolute_head_row_ratio = absolute_head_rows / n_rows"
"strict_boundary_head_rows","严格边界链头行数","先构造 strict_parent[i] = first_pred[i] if pred_count[i] == 1 else -1；再构造 strict_child_count[p] = # children whose strict_parent is p；若节点有严格子节点，且自身不是父节点唯一严格子节点的普通延续，则是 boundary head。","_is_strict_boundary_head over pred_count, strict_parent, strict_child_count","严格单前驱线性链段的边界起点数。链头自身可以有 0 个、1 个或多个前驱，但必须至少有严格子节点，并且不能只是其父链的普通延续。","strict_boundary_head_rows = Σ_i B(i), B(i)=1[strict_child_count[i] > 0 and (pred_count[i] != 1 or strict_parent[i] == -1 or strict_child_count[strict_parent[i]] != 1)]"
"strict_boundary_head_row_ratio","严格边界链头行占比","用 strict_boundary_head_rows 除以 n_rows；空矩阵时定义为 0。","strict_boundary_head_rows and n_rows","严格边界链头在全部行中的比例。","strict_boundary_head_row_ratio = strict_boundary_head_rows / n_rows"
"strict_single_pred_rows","严格单前驱行数","对每行 i 检查 pred_count[i] 是否等于 1。","pred_count array computed in read_strict_lower_dependencies_mtx","严格下三角前驱数恰好为 1 的行数。这些行可以作为严格 scan 链中的内部节点。","strict_single_pred_rows = Σ_i 1[pred_count[i] == 1]"
"strict_single_pred_row_ratio","严格单前驱行占比","用 strict_single_pred_rows 除以 n_rows；空矩阵时定义为 0。","strict_single_pred_rows and n_rows","严格单前驱行在全部行中的比例。","strict_single_pred_row_ratio = strict_single_pred_rows / n_rows"
"strict_multi_pred_rows","多前驱行数","对每行 i 检查 pred_count[i] 是否大于 1。","pred_count array computed in read_strict_lower_dependencies_mtx","严格下三角前驱数大于 1 的行数。当前严格单前驱链口径下，这些行不能作为链内部节点。","strict_multi_pred_rows = Σ_i 1[pred_count[i] > 1]"
"strict_multi_pred_row_ratio","多前驱行占比","用 strict_multi_pred_rows 除以 n_rows；空矩阵时定义为 0。","strict_multi_pred_rows and n_rows","多前驱行在全部行中的比例。","strict_multi_pred_row_ratio = strict_multi_pred_rows / n_rows"
"strict_branch_rows","严格分叉节点数","构造 strict_parent 后，反向统计每个节点的严格子节点数量 strict_child_count；计数大于 1 的节点就是 strict branch row。","strict_child_count from build_strict_child_arrays","拥有多个严格单前驱子节点的节点数。严格链在这种节点处截断，不穿过分叉。","strict_branch_rows = Σ_i 1[strict_child_count[i] > 1]"
"strict_branch_row_ratio","严格分叉节点占比","用 strict_branch_rows 除以 n_rows；空矩阵时定义为 0。","strict_branch_rows and n_rows","严格分叉节点在全部行中的比例。","strict_branch_row_ratio = strict_branch_rows / n_rows"
"strict_chain_count","严格链条数","从每个 boundary head 出发；当当前节点 strict_child_count == 1 时沿 unique_strict_child 继续；遇到 0 个或多个严格子节点停止；只保留长度 >= 2 的链。","analyze_strict_chains_from_arrays chain walk from boundary heads","长度至少为 2 的严格单前驱线性链段数量。","strict_chain_count = |{h in H : len(h) >= 2}|"
"strict_chain_row_coverage","严格链覆盖节点数","对每条长度 >= 2 的严格链，把链长累加。注意不同链按当前边界规则提取，分叉处截断。","chain lengths computed by analyze_strict_chains_from_arrays","所有保留下来的严格链段覆盖的节点总数，链长按节点数计并包含链头。","strict_chain_row_coverage = Σ_{h in H, len(h) >= 2} len(h)"
"strict_chain_row_coverage_ratio","严格链覆盖占比","用 strict_chain_row_coverage 除以 n_rows；空矩阵时定义为 0。","strict_chain_row_coverage and n_rows","严格链覆盖节点数占全部行数的比例。","strict_chain_row_coverage_ratio = strict_chain_row_coverage / n_rows"
"max_strict_chain_length","最长严格链长度","对所有长度 >= 2 的链取最大链长。","chain lengths computed by analyze_strict_chains_from_arrays","所有保留严格链中最长链的节点数。没有链时为 0。","max_strict_chain_length = max({len(h) : h in H and len(h) >= 2}, default=0)"
"avg_strict_chain_length","平均严格链长度","用严格链覆盖节点数除以严格链条数。","strict_chain_row_coverage and strict_chain_count","保留严格链的平均节点数。没有链时为 0。","avg_strict_chain_length = strict_chain_row_coverage / strict_chain_count if strict_chain_count > 0 else 0"
"strict_chain_len_ge_2","长度至少2的严格链条数","统计所有保留链中 len >= 2 的数量。","chain lengths computed by analyze_strict_chains_from_arrays","链长大于等于 2 的严格链数量。当前口径下与 strict_chain_count 相同。","strict_chain_len_ge_2 = Σ_{h in H} 1[len(h) >= 2]"
"strict_chain_len_ge_4","长度至少4的严格链条数","统计所有保留链中 len >= 4 的数量。","chain lengths computed by analyze_strict_chains_from_arrays","链长大于等于 4 的严格链数量。","strict_chain_len_ge_4 = Σ_{h in H} 1[len(h) >= 4]"
"strict_chain_len_ge_8","长度至少8的严格链条数","统计所有保留链中 len >= 8 的数量。","chain lengths computed by analyze_strict_chains_from_arrays","链长大于等于 8 的严格链数量。","strict_chain_len_ge_8 = Σ_{h in H} 1[len(h) >= 8]"
"strict_chain_len_ge_16","长度至少16的严格链条数","统计所有保留链中 len >= 16 的数量。","chain lengths computed by analyze_strict_chains_from_arrays","链长大于等于 16 的严格链数量。","strict_chain_len_ge_16 = Σ_{h in H} 1[len(h) >= 16]"
"strict_chain_len_ge_32","长度至少32的严格链条数","统计所有保留链中 len >= 32 的数量。","chain lengths computed by analyze_strict_chains_from_arrays","链长大于等于 32 的严格链数量。","strict_chain_len_ge_32 = Σ_{h in H} 1[len(h) >= 32]"
"strict_chain_len_ge_64","长度至少64的严格链条数","统计所有保留链中 len >= 64 的数量。","chain lengths computed by analyze_strict_chains_from_arrays","链长大于等于 64 的严格链数量。","strict_chain_len_ge_64 = Σ_{h in H} 1[len(h) >= 64]"
