formal_group,long_chain_count_ge_8,long_chain_count_ge_16,long_chain_count_ge_32,chain_gain_per_1pct_drop,status,error,matrix_name,source,input_path,n_rows,drop_method,drop_ratio_target,drop_ratio_actual,risk_threshold,max_drop_per_row,keep_row_max_predecessor,forbid_empty_rows,dropped_nnz,dropped_rows,strict_lower_nnz_before,strict_lower_nnz_after,single_pred_rows_before,single_pred_rows_after,multi_pred_rows_before,multi_pred_rows_after,multi_pred_to_single_pred_rows,strict_chain_count_before,strict_chain_count_after,strict_chain_row_coverage_before,strict_chain_row_coverage_after,strict_chain_row_coverage_gain,strict_chain_row_coverage_gain_ratio,strict_chain_coverage_gain_per_drop_ratio,strict_chain_coverage_gain_per_drop_percent,frontier_safe_chain_row_coverage_before,frontier_safe_chain_row_coverage_after,frontier_safe_chain_row_coverage_gain,frontier_safe_chain_row_coverage_gain_ratio,frontier_safe_boundary_cut_before,frontier_safe_boundary_cut_after,frontier_safe_boundary_cut_reduction,effective_chain_rows_ge_8_before,effective_chain_rows_ge_8_after,effective_chain_rows_ge_8,effective_chain_rows_ge_8_gain,effective_chain_rows_ge_8_gain_per_dropped_edge,effective_chain_rows_ge_16_before,effective_chain_rows_ge_16_after,effective_chain_rows_ge_16,effective_chain_rows_ge_16_gain,effective_chain_rows_ge_16_gain_per_dropped_edge,effective_chain_rows_ge_32_before,effective_chain_rows_ge_32_after,effective_chain_rows_ge_32,effective_chain_rows_ge_32_gain,effective_chain_rows_ge_32_gain_per_dropped_edge,effective_chain_count_ge_8_before,effective_chain_count_ge_8_after,effective_chain_count_ge_8_gain,effective_chain_count_ge_16_before,effective_chain_count_ge_16_after,effective_chain_count_ge_16_gain,effective_chain_count_ge_32_before,effective_chain_count_ge_32_after,effective_chain_count_ge_32_gain,effective_chain_coverage_ge_8_before,effective_chain_coverage_ge_8_after,effective_chain_coverage_ge_8,effective_chain_coverage_ge_8_gain,effective_chain_coverage_ge_8_gain_per_drop_ratio,effective_chain_coverage_ge_8_gain_per_drop_percent,effective_chain_coverage_ge_16_before,effective_chain_coverage_ge_16_after,effective_chain_coverage_ge_16,effective_chain_coverage_ge_16_gain,effective_chain_coverage_ge_16_gain_per_drop_ratio,effective_chain_coverage_ge_16_gain_per_drop_percent,effective_chain_coverage_ge_32_before,effective_chain_coverage_ge_32_after,effective_chain_coverage_ge_32,effective_chain_coverage_ge_32_gain,effective_chain_coverage_ge_32_gain_per_drop_ratio,effective_chain_coverage_ge_32_gain_per_drop_percent,avg_chain_length_before,avg_chain_length_after,avg_effective_chain_length_ge_8_before,avg_effective_chain_length_ge_8_after,avg_effective_chain_length_ge_16_before,avg_effective_chain_length_ge_16_after,avg_effective_chain_length_ge_32_before,avg_effective_chain_length_ge_32_after,effective_long_chain_score_before,effective_long_chain_score_after,effective_long_chain_score_gain,effective_long_chain_score_gain_per_drop_percent,max_chain_length_before,max_chain_length_after,strict_chain_len_ge_8_before,strict_chain_len_ge_8_after,strict_chain_len_ge_16_before,strict_chain_len_ge_16_after,strict_chain_len_ge_32_before,strict_chain_len_ge_32_after,chain_gain_per_dropped_edge
SPD,0,0,0,0.0,ok,,thermal1,factor-l,/home/scan_SpTRSV/data/factors/spcg/thermal1/spcg_spilu_l_thermal1_fill10_drop0.0001_sp0.mtx,82654,no-drop,0.0,0.0,,0,1,1,0,0,2750380,2750380,2344,2344,64883,64883,0,1966,1966,4080,4080,0,0.0,0.0,0.0,56182,56182,0,0.0,25306,25306,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0752797558494405,2.0752797558494405,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5,5,0,0,0,0,0,0,0.0
SPD,0,0,0,0.0,ok,,thermal1,factor-l,/home/scan_SpTRSV/data/factors/spcg/thermal1/spcg_spilu_l_thermal1_fill10_drop0.0001_sp0.mtx,82654,magnitude-drop,0.01,0.009999709131101884,0.0001,1,1,1,27503,27503,2750380,2722877,2344,2353,64883,64874,9,1966,1975,4080,4098,18,0.0002177753042804946,0.021778163887102745,0.00021778163887102743,56182,55752,-430,-0.005202410046700704,25306,25108,198,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0752797558494405,2.0749367088607595,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5,5,0,0,0,0,0,0,0.000654474057375559
SPD,0,0,0,0.0,ok,,thermal1,factor-l,/home/scan_SpTRSV/data/factors/spcg/thermal1/spcg_spilu_l_thermal1_fill10_drop0.0001_sp0.mtx,82654,magnitude-drop,0.01,0.009999709131101884,0.0001,-1,1,1,27503,5504,2750380,2722877,2344,2344,64883,64883,0,1966,1966,4080,4080,0,0.0,0.0,0.0,56182,55991,-191,-0.0023108379509763593,25306,25195,111,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0752797558494405,2.0752797558494405,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5,5,0,0,0,0,0,0,0.0
SPD,0,0,0,0.0,ok,,thermal1,factor-l,/home/scan_SpTRSV/data/factors/spcg/thermal1/spcg_spilu_l_thermal1_fill10_drop0.0001_sp0.mtx,82654,magnitude-drop,0.01,0.009999709131101884,0.001,1,1,1,27503,27503,2750380,2722877,2344,2353,64883,64874,9,1966,1975,4080,4098,18,0.0002177753042804946,0.021778163887102745,0.00021778163887102743,56182,55752,-430,-0.005202410046700704,25306,25108,198,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0752797558494405,2.0749367088607595,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5,5,0,0,0,0,0,0,0.000654474057375559
SPD,0,0,0,0.0,ok,,thermal1,factor-l,/home/scan_SpTRSV/data/factors/spcg/thermal1/spcg_spilu_l_thermal1_fill10_drop0.0001_sp0.mtx,82654,magnitude-drop,0.01,0.009999709131101884,0.001,-1,1,1,27503,5504,2750380,2722877,2344,2344,64883,64883,0,1966,1966,4080,4080,0,0.0,0.0,0.0,56182,55991,-191,-0.0023108379509763593,25306,25195,111,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0752797558494405,2.0752797558494405,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5,5,0,0,0,0,0,0,0.0
SPD,0,0,0,0.0,ok,,thermal1,factor-l,/home/scan_SpTRSV/data/factors/spcg/thermal1/spcg_spilu_l_thermal1_fill10_drop0.0001_sp0.mtx,82654,magnitude-drop,0.01,0.009999709131101884,0.01,1,1,1,27503,27503,2750380,2722877,2344,2353,64883,64874,9,1966,1975,4080,4098,18,0.0002177753042804946,0.021778163887102745,0.00021778163887102743,56182,55752,-430,-0.005202410046700704,25306,25108,198,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0752797558494405,2.0749367088607595,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5,5,0,0,0,0,0,0,0.000654474057375559
SPD,0,0,0,0.0,ok,,thermal1,factor-l,/home/scan_SpTRSV/data/factors/spcg/thermal1/spcg_spilu_l_thermal1_fill10_drop0.0001_sp0.mtx,82654,magnitude-drop,0.01,0.009999709131101884,0.01,-1,1,1,27503,5504,2750380,2722877,2344,2344,64883,64883,0,1966,1966,4080,4080,0,0.0,0.0,0.0,56182,55991,-191,-0.0023108379509763593,25306,25195,111,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0752797558494405,2.0752797558494405,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5,5,0,0,0,0,0,0,0.0
SPD,0,0,0,0.0,ok,,thermal1,factor-l,/home/scan_SpTRSV/data/factors/spcg/thermal1/spcg_spilu_l_thermal1_fill10_drop0.0001_sp0.mtx,82654,magnitude-drop,0.02,0.011741650244693461,0.0001,1,1,1,32294,32294,2750380,2718086,2344,2357,64883,64870,13,1966,1979,4080,4106,26,0.00031456432840515884,0.026790469980769824,0.0002679046998076983,56182,55690,-492,-0.005952524983666852,25306,25055,251,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0752797558494405,2.074785245073269,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5,5,0,0,0,0,0,0,0.0008051031151297454
SPD,0,0,0,0.0,ok,,thermal1,factor-l,/home/scan_SpTRSV/data/factors/spcg/thermal1/spcg_spilu_l_thermal1_fill10_drop0.0001_sp0.mtx,82654,magnitude-drop,0.02,0.019999781848326414,0.0001,-1,1,1,55007,8695,2750380,2695373,2344,2347,64883,64880,3,1966,1969,4080,4086,6,7.25917680934982e-05,0.003629627995145992,3.6296279951459915e-05,56182,55902,-280,-0.003387615844363249,25306,25112,194,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0752797558494405,2.0751650584052816,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5,5,0,0,0,0,0,0,0.00010907702656025596
SPD,0,0,0,0.0,ok,,thermal1,factor-l,/home/scan_SpTRSV/data/factors/spcg/thermal1/spcg_spilu_l_thermal1_fill10_drop0.0001_sp0.mtx,82654,magnitude-drop,0.02,0.01468633425199427,0.001,1,1,1,40393,40393,2750380,2709987,2344,2369,64883,64858,25,1966,1986,4080,4121,41,0.0004960437486389044,0.03377587219026737,0.00033775872190267367,56182,55386,-796,-0.009630507900404095,25306,24889,417,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0752797558494405,2.0750251762336354,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,5,5,0,0,0,0,0,0,0.0010150273562250884
